Category,Question,"Question Image","Explanation Image",Explanation,"Option 1","Option 2","Option 3","Option 4",Answer
"LO4: 4.2: Identify the distinguishing characteristics of underground utilities apparatus and highway","What service would typically be constructed using blue polyethylene pipe?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Flexible,Electricity,Water,Telecommunications,3
"LO4: 4.2: Identify the distinguishing characteristics of underground utilities apparatus and highway","What colour are low voltage electricity cables?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Red,Yellow,Black,Green,3
"LO4: 4.2: Identify the distinguishing characteristics of underground utilities apparatus and highway","What is the colour of the water service?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Yellow,Green,Red,Blue,4
"LO4: 4.2: Identify the distinguishing characteristics of underground utilities apparatus and highway","Which of the following services would be made from a blue pipe marked with brown stripes?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Non-potable water",Sewerage,"Water in contaminated ground","Fire fighting",3
"LO4: 4.2: Identify the distinguishing characteristics of underground utilities apparatus and highway","Which of the following services can be constructed using an earthenware pipe?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Surface water drainage","Cable television","Non-potable water","Oil or fuel pipelines",1
"LO4: 4.2: Identify the distinguishing characteristics of underground utilities apparatus and highway","What is the colour of a high voltage (HV) electricity cable?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Blue,Red,Yellow,Purple,2
"LO4: 4.2: Identify the distinguishing characteristics of underground utilities apparatus and highway","Which of the following services would be laid within a green service duct?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Cable television",Telecommunications,"Street lighting","Traffic control",1
"LO4: 4.2: Identify the distinguishing characteristics of underground utilities apparatus and highway","What colour are intermediate pressure (IP) gas mains?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Yellow,Black,Orange,Red,3
"LO6: 6.1: Define the information recorded within a site specific risk assessment","Which of these should be included in a site-specific risk assessment?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Name of the first aider","Identified hazards of work location","Number of near misses in the last 18 months","Number of near misses in the last 12 months",2
"LO6: 6.1: Define the information recorded within a site specific risk assessment","What is the highest risk to personal safety while detecting and marking underground services on a public highway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Injury from slips trips and falls","Injury from poor manual handling","Injury from road traffic","Injury from falling into an excavation",3
"LO6: 6.1: Define the information recorded within a site specific risk assessment","What information within a site specific risk assessment would provide you with the precautions to take to safely reduce or eliminate risks?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The control measure","The consequences","The risk rating","The affected people",1
"LO6: 6.1: Define the information recorded within a site specific risk assessment","How is the risk rating calculated on a site specific risk assessment?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Hazard âˆšâˆ‘ risk","Likelihood x severity","Consequence âˆšâˆ‘ likelihood","Risk x severity",2
"LO6: 6.1: Define the information recorded within a site specific risk assessment","What personal protective equipment (PPE) is used to reduce the risks associated with road traffic when detecting and marking underground services on a public highway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Safety glasses","Safety footwear","Hard hat","High visibility clothing",4
"LO6: 6.1: Define the information recorded within a site specific risk assessment","When selecting an appropriate control measure to reduce a risk, what does the term ""So far as is reasonably practicable"" mean?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The cost of the control measure is disproportionate to the level of risk","The hazard is cheaper to manage than the risk to employees and the public","The hazard is not worth managing","The level of risk is balanced against cost, time or trouble",4
"LO6: 6.3: State the potential consequences of damaging underground utilities apparatus and highways","What is the most common type of injury associated with damaging electric cables?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Broken limbs",Asphyxiation,Bruising,"Severe burns",4
"LO6: 6.3: State the potential consequences of damaging underground utilities apparatus and highways","What is the most likely consequence of striking liquified petroleum gas (LPG)?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Cold burns",Explosion,Asphyxiation,Headache,2
"LO6: 6.3: State the potential consequences of damaging underground utilities apparatus and highways","What is the most common type of injury associated with damaging gas services?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Hypothermia,"Severe burns",Bruising,"Broken bones",2
"LO6: 6.3: State the potential consequences of damaging underground utilities apparatus and highways","What is the most common type of injury associated with damaging water mains?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Hypothermia,Asphyxiation,Bruising,"Broken bones",1
"LO6: 6.3: State the potential consequences of damaging underground utilities apparatus and highways","Which of the following items must not be removed under any circumstances when excavating near a water main?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Fine fill and spoil","Trench props","Trench blocks","Sump pumps",3
"LO6: 6.3: State the potential consequences of damaging underground utilities apparatus and highways","What is the main risk to workers following damage to a sewer pipe?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Asphyxiation,Drowning,"Trench collapse","Exposure to raw sewage",4
"LO6: 6.4: Define the control measures used to reduce the likelihood and severity of consequences","What control measure should be used to reduce the risk of mechanical excavators damaging gas pipes?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Fit the excavator with restraints to limit its movement with the excavation","Do not use mechanical excavators within 500mm of a gas pipe","Use a banksman to guide the movement slowly over the top of gas pipes","Use a narrow bucket to excavate near gas pipes",2
"LO6: 6.4: Define the control measures used to reduce the likelihood and severity of consequences","Before excavating, what actions should be taken by operatives to reduce the risk of damaging underground utility apparatus and highway services?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Refer to plans and survey the work area to identify and mark the position of services","Erect the appropriate signing, lighting and guarding according for the work area.","Use dowsing sticks and the residentâ€š's knowledge to locate services","Carry out a desktop survey using satellite maps to determine potential hazards",1
"LO6: 6.4: Define the control measures used to reduce the likelihood and severity of consequences","What equipment should be used to reduce the risk of trench collapse as a result of a damaged water service?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Sand bags","Shoring equipment","Water pumps","Excavation covers",2
"LO6: 6.4: Define the control measures used to reduce the likelihood and severity of consequences","What documentation should be used to minimise the risk of damaging underground apparatus and services?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Safety at street works and road works: a code of practice","The construction design management (CDM) pack","Site specific risk assessments and method statements","Project notification - form 10",3
"LO6: 6.4: Define the control measures used to reduce the likelihood and severity of consequences","What personal protective equipment (PPE) can be worn to reduce the risks from damaged electric or gas services?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Flame retardant overalls","Breathing apparatus","Safety gloves","Dielectric footwear",1
"LO6: 6.4: Define the control measures used to reduce the likelihood and severity of consequences","What action should be taken when an electrical cable crosses a trench that is more than 1m wide?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Ask the asset owner to provide appropriate support for the cable","Add steel supports and nylon rope tied around the cable joints","Crowd cables using steel wire rope and sling from a concrete support beam","Support the cable at 500mm intervals using strong timber and ratchet straps",4
"LO6: 6.5: State the purpose of contingency plans in relation to damaged underground utilities","What is the purpose of informing the asset owner/operator in the event of damage to a telecommunications service?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To ensure that the service is repaired properly","To ensure no additional damage is done to the service","To reduce the risk of injury of site personnel","To reduce the risk of injury of the public",1
"LO6: 6.5: State the purpose of contingency plans in relation to damaged underground utilities","What is the purpose of keeping people well clear of the work area in the event of an electricity cable being damaged?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To ensure the cable is repaired properly","To ensure no additional damage is done to the cable","To ensure the safety of site personnel and members of the public","To ensure that the work area can be investigated by the employer",3
"LO6: 6.5: State the purpose of contingency plans in relation to damaged underground utilities","What is the purpose of keeping people well clear of the work area in the event of a gas pipe being damaged?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To ensure the pipe is repaired properly","To ensure no additional damage is done to the pipe","To ensure the safety of site personnel and members of the public","To ensure that the work area can be investigated by the employer",3
"LO8: 8.1: Define the operational limitations of different pipe and cable location equipment","Which of the following services would a conventional detection device be unable to locate?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Galvanised steel gas service","Low voltage (LV) electric cable","Polyethylene (PE) water service","Ductile iron water main",3
"LO8: 8.1: Define the operational limitations of different pipe and cable location equipment","What can prevent a detection device used in power mode from being able to locate a live electric cable?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Cable has a current flowing through it","Cables generate a strong magnetic field","Electricity is being drawn from the cable at the time","Cables have direct current (DC) flowing through it",4
"LO8: 8.1: Define the operational limitations of different pipe and cable location equipment","What is an established limitation when using radio frequency detectors to locate metallic pipe?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Other metallic objects can reradiate the signal and results may vary","Metallic pipe can only be located using signal generators","The pipe cannot generate a large enough magnetic field","Plastic objects can generate a stronger radio frequency and results may vary",1
"LO8: 8.1: Define the operational limitations of different pipe and cable location equipment","Which of the following services would a conventional detection device be unable to locate?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Galvanised steel gas service","Low voltage (LV) electric cable","Polyethylene (PE) gas service","Ductile iron water main",3
"LO8: 8.1: Define the operational limitations of different pipe and cable location equipment","Which of the following will prevent a detection device, used in power mode, from being able to locate a live electric cable?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Cables that use alternating current (AC)","Cables that generate a magnetic field","Electricity is being drawn from the cable at the time","Cables where there is little or no current flowing",4
"LO8: 8.1: Define the operational limitations of different pipe and cable location equipment","Why might it be difficult to locate a telecommunication cable when using radio frequency detectors?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The cable crosses the path of a power cable","The cable is well balanced and does not radiate a traceable signal","The cable is too short to radiate a traceable signal","There is a weak current running through the cable",3
"LO8: 8.2: State how to select equipment that is fit for purpose","Which of the following statements is a feature of the Provision and Use of Work Equipment Regulations (PUWER)?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The employee is responsible for buying PPE","The HSE is responsible for servicing work equipment","The manufacturer is responsible for training users","The employer is responsible for suitability of work equipment",4
"LO8: 8.2: State how to select equipment that is fit for purpose","How often should detection equipment undergo testing and recalibration?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"A minimum of once per year","Dependant on the manufacturerâ€š's instructions","Each time the device is used","Every six months with daily pre start checks",2
"LO8: 8.2: State how to select equipment that is fit for purpose","What document will provide an operative with the specific checks to ensure that the selected equipment is fit for purpose before it is used?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The job method statement","The calibration certificate","The site specific risk assessment","The manufacturerâ€š's instructions.",4
"LO8: 8.2: State how to select equipment that is fit for purpose","Why should an operative consider the conditions and risks that exist in the intended workplace when selecting equipment?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To ensure that it is suitable for its intended use","To ensure that it can be stored securely and safely","To ensure that maintenance costs are as low as possible","To ensure that the workforce has adequate skills to operate machinery",1
"LO8: 8.2: State how to select equipment that is fit for purpose","Why must the person selecting detection methods have a good understanding of the available equipment and its limitations?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To ensure that the equipment is affordable","To ensure the equipment is fit for purpose","To ensure the equipment is durable","To ensure the users are competent",2
"LO8: 8.2: State how to select equipment that is fit for purpose","Who is responsible for the suitability of work equipment?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The employee","The employer","The manufacturer","The client",2
"LO8: 8.3: Define the procedure for notifying the relevant authority of discrepancies between search","What action should be taken if discrepancies are found between search results and site plans?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Inform the asset owner to allow them to amend their records","Take measurements and ask the site agent to update plans and records","Report the inaccuracy to the HSE as a near miss","Stop work, leave the area and make it secure until the contractor investigates",1
"LO8: 8.3: Define the procedure for notifying the relevant authority of discrepancies between search","What action should be taken if the work completed changes the path or depth of a service and makes the current version of the plans inaccurate?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"No action required if the changes are within 500mm","Do not back fill the excavation until the asset owner updates their records","Inform the asset owner and they should amend their records","Take measurements and ask the site agent to update plans and records",3
"LO8: 8.3: Define the procedure for notifying the relevant authority of discrepancies between search","Why must the asset owner be contacted if a service is found to be located well away from its recorded position?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To allow them to correct the position of the service","To allow them to update their records","To allow them to carry out an investigation","To allow them to organise compensation",2
"LO8: 8.4 State the procedure to follow where underground utilities apparatus and highways services","Who can provide additional advice or assistance in the event that services recorded in a plan cannot be located using detection equipment?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The site manager","The asset owner","The local authority","The equipment manufacturer",2
"LO8: 8.4 State the procedure to follow where underground utilities apparatus and highways services","What action should be taken where underground services cannot be found using detection equipment?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Obtain more plans from asset owner","Dig trial holes using safe techniques","Use different detection equipment","Hire a specialist to survey the area",2
"LO8: 8.4 State the procedure to follow where underground utilities apparatus and highways services","What action should be taken where underground services cannot be found using detection equipment or by digging multiple trial holes?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Obtain more information from asset owner","Continue to dig trial holes","Use different detection equipment","Hire a specialist to survey the area",1
"LO2: 2.1 State the purpose of work site surveys and site specific risk assessments","What is the purpose of site specific risk assessments?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To identify the signs to use for the site","To identify the immediate hazards and risks associated with the work","To write a method statement","To comply with the Road Traffic Act",2
"LO2: 2.1 State the purpose of work site surveys and site specific risk assessments","Why should work site surveys be carried out?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To risk assess the location and decide the traffic management layout","To liaise with the appropriate authorities or statutory bodies to plan works","To determine the number of cones and signs required to carry out the work","To obtain any licences, approvals and temporary traffic regulation orders/notices",1
"LO2: 2.1 State the purpose of work site surveys and site specific risk assessments","How should the appropriate traffic management layout and correct equipment be determined ahead of planned works?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"By following method statements and permits to work","By following a design provided by the appropriate authority or statutory body","By carrying out a work site survey and site specific risk assessment","By hiring a traffic management company to design and install equipment",3
"LO2: 2.2: State the potential requirements of the location and its users","What action must be taken where motorists cannot see the first sign (Road Works) due to limited visibility?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Use larger signs","Move the safety zone.","Extend the lead in taper","Place additional signs",4
"LO2: 2.2: State the potential requirements of the location and its users","What equipment should be used to provide light vehicle access to premises during excavation work on a footway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Road plates","Footway boards","Excavation covers","Footway ramps",2
"LO2: 2.2: State the potential requirements of the location and its users","What equipment must be provided to enable pedestrians to negotiate kerbs safely when diverted to temporary walkways in the carriageway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Road plates","Footway boards","Excavation covers","Footway ramps",4
